Year,Region,Subsector,TargetFactor,SimulatedRealYFactor,SimulatedPriceWeightedVAFactor,AbsDiffRealY,AbsDiffPriceWeightedVA
2026,1,1,1.05183214048021,1.21857567522532,1.05183214048021,0.16674353474511,8.88178419700125e-16
2027,1,1,1.04962632968452,1.22611315167487,1.04962632968453,0.176486821990343,8.88178419700125e-16
2028,1,1,1.04720879633071,1.23012712778375,1.04720879633071,0.182918331453042,6.66133814775094e-16
2029,1,1,1.04454752076216,1.23406574596196,1.04454752076215,0.189518225199804,1.77635683940025e-15
2030,1,1,1.04160368394047,1.23892254413613,1.04160368394046,0.197318860195666,2.88657986402541e-15
2031,1,1,1.0512,1.14728018611271,1.0512,0.0960801861127092,2.88657986402541e-15
2032,1,1,1.04482291666667,1.13871877777653,1.04482291666667,0.0938958611098646,5.10702591327572e-15
2033,1,1,1.03853152173913,1.13306638197677,1.03853152173912,0.0945348602376404,9.10382880192628e-15
2034,1,1,1.03229377840909,1.1278045260019,1.0322937784091,0.0955107475928081,5.99520433297585e-15
2035,1,1,1.026074375,1.12477819189214,1.026074375,0.098703816892137,3.77475828372553e-15
2036,1,1,1.02125,1.17185761878979,1.02125,0.150607618789788,1.11022302462516e-15
2037,1,1,1.01842105263158,1.17746470513135,1.01842105263158,0.159043652499774,4.88498130835069e-15
2038,1,1,1.01527777777778,1.18376216019836,1.01527777777778,0.168484382420578,1.55431223447522e-15
2039,1,1,1.01176470588235,1.19096321194872,1.01176470588235,0.179198506066369,1.33226762955019e-15
2040,1,1,1.0078125,1.19918394503098,1.0078125,0.191371445030976,1.99840144432528e-15
2041,1,1,1.00333333333333,1.20065746098868,1.00333333333333,0.19732412765535,6.66133814775094e-16
2042,1,1,0.998214285714286,1.21285249011854,0.998214285714284,0.214638204404257,1.66533453693773e-15
2043,1,1,0.992307692307692,1.22886990305473,0.992307692307696,0.23656221074704,3.77475828372553e-15
2044,1,1,0.985416666666667,1.24857997216188,0.985416666666679,0.263163305495215,1.28785870856518e-14
2045,1,1,0.977272727272727,1.27309449914571,0.977272727272797,0.295821771872986,6.96109836439973e-14
2046,1,1,0.9675,1.28000743191859,0.967500000000276,0.312507431918586,2.76223488526739e-13
2047,1,1,0.955555555555556,1.32082114573028,0.955555555556952,0.36526559017472,1.39688260958337e-12
2048,1,1,0.940625,1.37230398665724,0.940625000008015,0.431678986657242,8.01525512628132e-12
2049,1,1,0.921428571428571,1.44719751435943,0.921428571483464,0.525768942930861,5.48925349619367e-11
2050,1,1,0.895833333333333,1.56439015836569,0.895833333814636,0.668556825032359,4.81302775412473e-10
2051,1,1,0.895833333333333,1.60014928191936,0.895833337230206,0.704315948586029,3.89687215829326e-09
2026,1,2,1.0014125956959,1.01057209212657,1.00141259569591,0.00915949643067071,7.54951656745106e-15
2027,1,2,0.991706829731704,1.0100678030477,0.991706829731696,0.0183609733160002,7.88258347483861e-15
2028,1,2,0.97988134827371,1.01794605640058,0.979881348273718,0.0380647081268733,7.99360577730113e-15
2029,1,2,0.965156616021217,1.03004973875365,0.965156616021214,0.0648931227324303,3.44169137633799e-15
2030,1,2,0.946317457794435,1.04849941989806,0.946317457794428,0.102181962103628,6.77236045021345e-15
2031,1,2,1.022,1.01854422005285,1.022,0.00345577994715041,4.44089209850063e-15
2032,1,2,1.012375,0.984358327824717,1.012375,0.028016672175283,1.77635683940025e-15
2033,1,2,1.00221923076923,0.98939687731105,1.00221923076922,0.0128223534581808,6.21724893790088e-15
2034,1,2,0.991329739583333,0.99445442223343,0.99132973958334,0.00312468265009658,6.21724893790088e-15
2035,1,2,0.979434630681818,0.977928433176294,0.979434630681816,0.00150619750552428,2.55351295663786e-15
2036,1,2,0.994375,0.975913753813968,0.994375000000004,0.0184612461860322,3.88578058618805e-15
2037,1,2,0.987837837837838,0.978686224121822,0.987837837837832,0.00915161371601558,5.99520433297585e-15
2038,1,2,0.98014705882353,0.981695448434572,0.980147058823534,0.00154838961104187,4.55191440096314e-15
2039,1,2,0.970967741935484,0.985574222045107,0.970967741935484,0.0146064801096235,1.11022302462516e-16
2040,1,2,0.959821428571428,0.990139258793049,0.959821428571427,0.0303178302216208,1.77635683940025e-15
2041,1,2,1.0535,0.95123728008682,1.05350000000001,0.10226271991318,6.21724893790088e-15
2042,1,2,1.0530612244898,0.947026410455122,1.05306122448979,0.106034814034674,5.10702591327572e-15
2043,1,2,1.05260416666667,0.948791910401034,1.05260416666667,0.103812256265632,2.22044604925031e-16
2044,1,2,1.05212765957447,0.950887379923928,1.05212765957447,0.10124027965054,1.77635683940025e-15
2045,1,2,1.05163043478261,0.952676225722673,1.05163043478261,0.0989542090599359,1.11022302462516e-15
2046,1,2,1.05111111111111,0.953881773627337,1.05111111111111,0.0972293374837746,2.22044604925031e-16
2047,1,2,1.05056818181818,0.963369290123118,1.05056818181818,0.0871988916950643,1.11022302462516e-15
2048,1,2,1.05,0.960250870268319,1.05,0.0897491297316813,2.44249065417534e-15
2049,1,2,1.04940476190476,0.958639577700564,1.04940476190476,0.0907651842041981,2.66453525910038e-15
2050,1,2,1.04878048780488,0.960509700675658,1.04878048780488,0.0882707871292197,2.66453525910038e-15
2051,1,2,1.04878048780488,0.98458650334965,1.04878048780487,0.0641939844552285,4.66293670342566e-15
2026,1,3,1.44681478929482,1.49520924381292,1.44681478929482,0.0483944545180965,2.88657986402541e-15
2027,1,3,1.36368009993196,1.44425247016138,1.36368009993197,0.0805723702294117,2.66453525910038e-15
2028,1,3,1.31269512544741,1.39752967586549,1.3126951254474,0.0848345504180836,5.10702591327572e-15
2029,1,3,1.27823227454464,1.3651435993146,1.27823227454464,0.0869113247699602,2.22044604925031e-16
2030,1,3,1.25338018441832,1.34020800302478,1.25338018441832,0.0868278186064644,2.66453525910038e-15
2031,1,3,1.1169,1.00880044385288,1.1169,0.10809955614712,2.22044604925031e-16
2032,1,3,1.11162745098039,1.11120457703064,1.11162745098039,0.000422873949747382,2.44249065417534e-15
2033,1,3,1.10661706730769,1.12000096497139,1.1066170673077,0.0133838976636969,2.88657986402541e-15
2034,1,3,1.10185535377359,1.13071793875127,1.10185535377358,0.028862584977688,4.44089209850063e-15
2035,1,3,1.09732953993056,1.11846474464645,1.09732953993056,0.0211352047158895,3.10862446895044e-15
2036,1,3,1.07890909090909,1.07987008229675,1.07890909090909,0.000960991387655152,6.66133814775094e-16
2037,1,3,1.07889492753623,1.08863518948955,1.07889492753623,0.00974026195331779,2.88657986402541e-15
2038,1,3,1.07888086642599,1.09970805892435,1.07888086642599,0.020827192498359,1.11022302462516e-15
