Year,DeltaMaintFossil,DeltaMaintRenewable,TargetInvestmentMethod,FossilTargetIYRatio,RenewableTargetIYRatio,FossilNewInvestmentIYRatio,RenewableNewInvestmentIYRatio,FossilMaintenanceIYRatio_IndexProxy,RenewableMaintenanceIYRatio_IndexProxy,FossilMaintenanceIYRatio_CapitalStock,RenewableMaintenanceIYRatio_CapitalStock,FossilTargetIYRatio_IndexProxy,RenewableTargetIYRatio_IndexProxy,FossilTargetIYRatio_CapitalStock,RenewableTargetIYRatio_CapitalStock,TargetCapitalStockFossil_MioUSD,TargetCapitalStockRenewable_MioUSD
2025,0.05,0.05,IndexProxy,0.0232572697674419,0.00549298604651163,0.0107572697674419,0.00524298604651163,0.0125,0.00025,0.00673294790697674,0.00723088294494842,0.0232572697674419,0.00549298604651163,0.0174902176744186,0.01247386899146,57903.352,62185.5933265564
2026,0.05,0.05,IndexProxy,0.045569127813417,0.0881336193662365,0.0318743209302326,0.0877735121897547,0.0136948068831844,0.000360107176481818,0.00612086173361522,0.00657352994995311,0.045569127813417,0.0881336193662365,0.0379951826638478,0.0943470421397078,72979.9058,103698.84459231
2027,0.05,0.05,IndexProxy,0.043545725757241,0.0802422307413142,0.0289766553911205,0.0797941019906861,0.0145690703661205,0.000448128750628099,0.00701325252738804,0.00996529354144824,0.043545725757241,0.0802422307413142,0.0359899079185085,0.0897593955321343,88056.4596,145212.095858064
2028,0.05,0.05,IndexProxy,0.0415136106219117,0.0730572630286402,0.0263424139919277,0.0725400927188055,0.0151711966299839,0.000517170309834713,0.0076928048154037,0.0126860461497794,0.0415136106219117,0.0730572630286402,0.0340352188073314,0.0852261388685849,103133.0134,186725.347123818
2029,0.05,0.05,IndexProxy,0.0394910889346816,0.0665154941501606,0.0239476490835707,0.0659455388352778,0.0155434398511109,0.000569955314882865,0.00819084137727281,0.0148297586678234,0.0394910889346816,0.0665154941501606,0.0321384904608435,0.0807752975031012,118209.5672,228238.598389572
2030,0.05,0.05,IndexProxy,0.0355765372585733,0.0499480715841098,0.0198539165623254,0.0493392026726159,0.0157226206962479,0.000608868911493876,0.00853474893768303,0.0164788619168861,0.0355765372585733,0.0499480715841098,0.0283886655000084,0.065818064589502,124029.678,229551.297384904
2031,0.05,0.05,IndexProxy,0.0229317198597133,0.0425210355981297,0.00806102262318499,0.0418915438814439,0.0148706972365283,0.00062949171668581,0.00817804733592025,0.015135743366484,0.0229317198597133,0.0425210355981297,0.0162390699591052,0.0570272872479279,126654.09015,261314.836780847
2032,0.05,0.05,IndexProxy,0.0215031959484276,0.0390685463396327,0.00739373778783306,0.0384237962682356,0.0141094581605945,0.000644750071397094,0.00765979466718849,0.0158038164488852,0.0215031959484276,0.0390685463396327,0.0150535324550215,0.0542276127171208,129278.5023,293078.37617679
2033,0.05,0.05,IndexProxy,0.0202378023990056,0.0360454654112008,0.00680987604078615,0.0353895819829707,0.0134279263582195,0.000655883428230052,0.00720110896368765,0.0163251374683484,0.0202378023990056,0.0360454654112008,0.0140109850044738,0.0517147194513192,131902.91445,324841.915572733
2034,0.05,0.05,IndexProxy,0.0191136354910054,0.0333880363577507,0.00629698285188577,0.0327241772900826,0.0128166526391196,0.000663859067668061,0.00679392527717492,0.0167316371324918,0.0191136354910054,0.0333880363577507,0.0130909081290607,0.0494558144225744,134527.3266,356605.454968676
